date,Govt Bond Yield 10 Yr,Real GDP Growth,BI7DRR,Deposit Rate 1M,Deposit Rate 3M,Deposit Rate 6M,Deposit Rate 12M,CPI,JISDOR Exchange Rate,Informal Employment,Cement,Stock Index,Fed Funds,FX,FPI,IPI,JIBOR,JIBOR_1,PMI,Money Supply,Money Supply_1,Motor Sales,Retail,CCI,Exports,Imports,Loans,Trade Bal,Unemployment,Gov Bond,Import Price Index,GFCF,Capacity Utilization,Terms of Trade,Disposable Income,Crude Oil Price,Household Debt,Tax Revenue,Export Price Index,Fiscal Balance,Manufacturing Wages YoY,Household Consumption,Imports Capital Goods,Government Expenditure
1953-06-30,,0.0,,,,,,,,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.99666666666667,,0.0,,,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0
1953-12-30,,0.0,,,,,,,,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.7800000000000002,,0.0,,,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0
1954-06-30,,0.0,,,,,,,,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.393333333333335,,0.0,,,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0
1954-12-30,,0.0,,,,,,,,0.0,0.0,,1.00928660049628,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.41,,0.0,,,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0
1955-06-30,,0.0,,,,,,,,0.0,0.0,,1.42177513883965,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.705,,0.0,,,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0
1955-12-30,,0.0,,,,,,,,0.0,0.0,,2.1451513647642653,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.928333333333335,,0.0,,,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0
1956-06-30,,0.0,,,,,,,,0.0,0.0,,2.58442542996492,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.991666666666665,,0.0,,,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0
1956-12-30,,0.0,,,,,,,,0.0,0.0,,2.868973236440975,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.37333333333333,,0.0,,,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0
1957-06-30,,0.0,,,,,,,,0.0,0.0,,2.96758064516129,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.515,,0.0,,,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0
1957-12-30,,0.0,,,,,,,,0.0,0.0,,3.2324347158218147,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.7800000000000002,,0.0,,,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0
1958-06-30,,0.0,,,,,,,,0.0,0.0,,1.375934715821815,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.9816666666666647,,0.0,,,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0
